Date,Close,LogReturn,Return_scaled,P_high_volatility,P_low_volatility,P_medium_volatility,State,Regime
1996-07-16,628.3699951171875,-0.0022731321060769,-0.2234758795313276,0.022937216885060095,0.03392769671086862,0.9431350864040713,2,Medium volatility
1996-07-17,634.0700073242188,0.0090302128097832,0.7716874693627183,0.015312722130450502,0.051822976485282335,0.9328643013842672,2,Medium volatility
1996-07-18,643.5599975585938,0.0148558890010015,1.2845886920698524,0.018200212425161254,0.0176501516790253,0.9641496358958134,2,Medium volatility
1996-07-19,638.72998046875,-0.0075334596943852,-0.686602967842628,0.0122522317278756,0.031842149922896294,0.955905618349228,2,Medium volatility
1996-07-22,633.77001953125,-0.007795655884438,-0.7096871115631374,0.00932430229595351,0.04158072225595467,0.9490949754480917,2,Medium volatility
1996-07-23,626.8699951171875,-0.010946968587004,-0.9871333830732284,0.009728156306770307,0.024166699780912584,0.966105143912317,2,Medium volatility
1996-07-24,626.6500244140625,-0.000350964806234,-0.0542454029347696,0.006204400615946703,0.08032380560300023,0.913471793781053,2,Medium volatility
1996-07-25,631.1699829101562,0.0071870027914098,0.6094085096164074,0.005483859815476498,0.12356756595670515,0.8709485742278184,2,Medium volatility
1996-07-26,635.9000244140625,0.0074661438577017,0.633984505519631,0.005060076759651541,0.16862885489269766,0.8263110683476509,2,Medium volatility
1996-07-29,630.9099731445312,-0.0078781776089016,-0.7169524472920753,0.0053445948080559766,0.15087136926066932,0.8437840359312747,2,Medium volatility
1996-07-30,635.260009765625,0.006871200225551,0.5816047805991316,0.0046796427807690305,0.2123214701659421,0.7829988870532889,2,Medium volatility
1996-07-31,639.9500122070312,0.0073556880938383,0.6242598152895101,0.004298118829791328,0.2695290481934459,0.7261728329767628,2,Medium volatility
1996-08-01,650.02001953125,0.0156130943174641,1.351254177741618,0.009899187709943068,0.06795786679822616,0.9221429454918308,2,Medium volatility
1996-08-02,662.489990234375,0.019002286971804,1.64964375507881,0.021491625539178286,0.0051089116501265835,0.9733994628106951,2,Medium volatility
1996-08-05,660.22998046875,-0.0034172190863248,-0.3242030040386966,0.011775643837349135,0.038580435455840646,0.9496439207068103,2,Medium volatility
1996-08-06,662.3800048828125,0.0032511871704077,0.2628934308338264,0.007116444271092103,0.10229123786714905,0.8905923178617589,2,Medium volatility
1996-08-07,664.1599731445312,0.0026836271193602,0.2129245972448951,0.004745743057132537,0.20509701491755916,0.7901572420253082,2,Medium volatility
1996-08-08,662.5900268554688,-0.0023666056481044,-0.2317054296166792,0.003474412220579882,0.32323812277775904,0.6732874650016609,2,Medium volatility
1996-08-09,662.0999755859375,-0.000739873164262,-0.0884854749549535,0.0024068545570758875,0.4837325297151661,0.5138606157277581,2,Medium volatility
1996-08-12,665.77001953125,0.0055277298288176,0.4633236426611684,0.0019331666342265207,0.5989257239961141,0.3991411093696594,1,Low volatility
1996-08-13,660.2000122070312,-0.0084014569769479,-0.763022743490985,0.0027534191445178755,0.5130238065946038,0.4842227742608783,1,Low volatility
1996-08-14,662.0499877929688,0.0027982254385428,0.2230140042252453,0.0016296954473404735,0.6680998866279055,0.330270417924754,1,Low volatility
1996-08-15,662.280029296875,0.0003474081282632,0.0072403920617207,0.0009145073125715028,0.7931644728834145,0.20592101980401392,1,Low volatility
1996-08-16,665.2100219726562,0.0044143418338968,0.3652993026192102,0.0005936725449800468,0.8624185909637222,0.1369877364912976,1,Low volatility
1996-08-19,666.5800170898438,0.0020573747516445,0.1577884045384055,0.00032731063062966457,0.9162918179857379,0.08338087138363234,1,Low volatility
1996-08-20,665.6900024414062,-0.0013360876816097,-0.1409770905041227,0.00019637807657735216,0.943381103203196,0.05642251872022646,1,Low volatility
1996-08-21,665.0700073242188,-0.0009317910930546,-0.1053822157119367,0.0001224717579608515,0.9594967866656066,0.04038074157643261,1,Low volatility
1996-08-22,670.6799926757812,0.0083998028623462,0.7161852371352248,0.00017209671509251295,0.946529411285065,0.05329849199984251,1,Low volatility
1996-08-23,667.030029296875,-0.0054570458122364,-0.503792392032463,0.0001886749059769912,0.941252030007448,0.05855929508657514,1,Low volatility
1996-08-26,663.8800048828125,-0.0047336487293039,-0.4401034336763239,0.00018394199113358332,0.9426451654705778,0.057170892538288616,1,Low volatility
1996-08-27,666.4000244140625,0.0037887098808999,0.3102177321501079,0.00012891990584942438,0.9578014203357242,0.04206965975842629,1,Low volatility
1996-08-28,664.8099975585938,-0.0023888456146803,-0.2336634694519416,9.640335058847435e-05,0.9643645610847648,0.035539035564646874,1,Low volatility
