Date,Close,LogReturn,Return_scaled,P_high_volatility,P_low_volatility,P_medium_volatility,State,Regime,Split,Return_5,Return_20,Volatility_5,Volatility_20,Volatility_change,Drawdown_20,Days_in_medium,Target
2001-06-26,1216.760009765625,-0.001511042458997,-0.1563803701054962,0.0041640703836398,0.2143745991470864,0.7814613304692737,2,Medium volatility,train,0.003441311545508063,-0.0411940954662393,0.12768118845192472,0.13915183420814362,-0.011470645756218895,-0.052050094127392255,29,0.0
2001-06-27,1211.0699462890625,-0.0046873743201221,-0.4360293656590913,0.0036769675592527,0.2831950974708009,0.7131279349699463,2,Medium volatility,train,-0.009917112719357937,-0.030102113227902898,0.11290895740004409,0.1303880280792286,-0.017479070679184527,-0.056483092494963194,30,0.0
2001-06-28,1226.199951171875,0.0124156945071431,1.0697503285113292,0.0062639291727626,0.1635834676163794,0.8301526032108579,2,Medium volatility,train,-0.008801544236668239,-0.023868786378556297,0.11955056001176852,0.13665164342840322,-0.017101083416634702,-0.044695651595030195,31,0.0
2001-06-29,1224.3800048828125,-0.0014853191132644,-0.15411564837272,0.0041050274380489,0.2827648678797064,0.7131301046822445,2,Medium volatility,train,-0.0007919001371972359,-0.029208763114505397,0.10312272987949335,0.1354093462795368,-0.03228661640004345,-0.046113530140974746,32,0.0
2001-07-02,1236.719970703125,0.0100280926042684,0.8595422951214374,0.0049926798992544,0.2508060158119797,0.7442013042887657,2,Medium volatility,train,0.014760051219027964,-0.0242760152512405,0.10943079975223456,0.13943408236263266,-0.0300032826103981,-0.03649974488837615,33,0.0
2001-07-03,1234.449951171875,-0.0018372028160893,-0.1850960145148797,0.003296693694679,0.3873174879732357,0.6093858183320853,2,Medium volatility,train,0.014433890861935663,-0.039019729167894396,0.1101186670022741,0.1296054940239022,-0.0194868270216281,-0.03329000991888231,34,0.0
2001-07-05,1219.239990234375,-0.012397781399267,-1.114865107409464,0.0068409502651096,0.1416073290186775,0.8515517207162129,2,Medium volatility,train,0.006723483782790763,-0.0408128395051965,0.14286308051775037,0.13125204472786012,0.011611035789890256,-0.04520108105875853,35,0.0
2001-07-06,1190.5899658203125,-0.0237787519342154,-2.116862731611122,0.0374513638554876,0.0003497633428545,0.9621988728016576,2,Medium volatility,train,-0.02947096265856774,-0.070033268688135,0.1812157819457105,0.14811429448031552,0.033101487465394985,-0.058792370836836305,36,0.0
2001-07-09,1198.780029296875,0.0068554435428982,0.5802175387523204,0.0207795270672526,0.0273645072290449,0.9518559657037023,2,Medium volatility,train,-0.02113020000240514,-0.053736072835666,0.19837063725874038,0.15059059808175396,0.04778003917698642,-0.04544328335272341,37,0.0
2001-07-10,1181.52001953125,-0.0145026357435629,-1.3001796239349734,0.0232400575658007,0.0062014211559613,0.970558521278238,2,Medium volatility,train,-0.04566092835023644,-0.0598476486546618,0.16842678023454094,0.15492948804465753,0.013497292189883409,-0.05918697097557979,38,0.0
